,mean,std,opt_degree,cv_r2,r2_deg_1,r2_deg_2,r2_deg_3,sobol_H,sobol_W,sobol_R,sobol_H*W,sobol_H*R,sobol_W*R
ESI_Day_city,20.038344766912417,0.017313794160028595,3.0,0.9924801439680989,0.9000764649809693,0.9828001732585049,0.9924801439680989,0.6440148802206453,0.25717167482517683,0.010605082957813193,0.031113881903055533,0.0061573010009195435,0.041522581312809365
ETm_Day_city,19.644176964075285,0.015736855292772252,3.0,0.9940730649764706,0.8846172137129967,0.9793174668140688,0.9940730649764706,0.620275799538192,0.2569020315448124,0.006024413128741397,0.04530827185054002,0.008181783457845695,0.04232869246442038
HI_Day_city,23.519724708145596,0.0112645221181917,3.0,0.9788378232208977,0.8693950959885282,0.9540802269746423,0.9788378232208977,0.38115187504587245,0.3557825216723234,0.0644196904606812,0.07346315341368775,0.014515035551046997,0.03203541599664133
NET_Day_city,15.39717936119357,0.36047873581016326,3.0,0.9998542218772488,0.9582968084483998,0.9978481397662783,0.9998542218772488,0.47619914878870584,0.09641794395226096,0.3942404747381832,0.01200293711297353,0.0198686791851671,0.0011464992581656564
WBGT_Day_city,20.452305611729656,0.06865740951765419,3.0,0.9993846260711605,0.9507211161730588,0.9968813036502369,0.9993846260711605,0.5810900702909496,0.04405462535216381,0.3470442148713738,0.011554774514201067,0.009437189774350459,0.006551969794919241
ESI_Night_city,15.545084062385637,0.16932756299584975,3.0,0.9991554811358865,0.9137731871456968,0.9907306040370724,0.9991554811358865,0.580600669475502,0.0614558112355077,0.2884034638083335,0.024440202266564237,0.015308224698557497,0.029787516519925856
ETm_Night_city,16.997689183091364,0.17595489241376766,3.0,0.9992275563559059,0.9156733631947418,0.9910394070464454,0.9992275563559059,0.5854815775668735,0.05755682055061776,0.28919227861813795,0.023746597743709855,0.015270571655803563,0.028749827400836904
HI_Night_city,21.78602486561852,0.1876575179132341,3.0,0.9992334923405636,0.9360302040857118,0.9936691181183201,0.9992334923405636,0.64405818140175,0.033619100651709324,0.2795088008557662,0.019497715778143354,0.005270467057151407,0.01788283872086082
NET_Night_city,12.626485768602521,0.643078016639737,3.0,0.9997615399260138,0.9482598222226913,0.9966291098507021,0.9997615399260138,0.5099502630114133,0.04004470796051881,0.41255537700888656,0.013223236081077236,0.018204909964074627,0.0060203018082974034
WBGT_Night_city,15.68080306750851,0.13827987493479954,3.0,0.9990544551329744,0.9116681744652553,0.9904161445864241,0.9990544551329744,0.5744184335087332,0.058032343212973805,0.29559881128863863,0.023942744726116155,0.017329530018307237,0.03065749580865285
ESI_Day_non-city,19.826427387069046,0.004118405366421368,3.0,0.9682045348000823,0.8768484434812696,0.9652928179390367,0.9682045348000823,0.7726777411159712,0.0666628127106817,0.08845231956400176,0.033272586857356914,0.004350432250038483,0.029524877087925446
ETm_Day_non-city,20.10896020989114,0.0036186697513119898,3.0,0.9782352011053055,0.8846041996160776,0.9717669668877958,0.9782352011053055,0.7906332465198528,0.011814274524152053,0.13122396983750786,0.037642314616288135,0.0039358962555298286,0.013998289523173984
HI_Day_non-city,24.480591959125494,0.0027585130392027693,2.0,0.928077913320314,0.8854727592172956,0.928077913320314,0.9225487744522904,0.6045014872486116,0.09105114570797582,0.2797836028060208,0.020992162392901807,0.0034715840169814143,0.0002000178275084353
NET_Day_non-city,15.397224807472451,0.020911449044974457,3.0,0.996844099183211,0.9581492738887256,0.9945861843767171,0.996844099183211,0.5412351745393169,0.07859515702625057,0.3638855091981988,0.0070699560455067655,0.004420797568300716,0.00422773639825849
WBGT_Day_non-city,19.848625813935758,0.007039775739852205,3.0,0.9872990372540595,0.9175241096402388,0.9850433167329827,0.9872990372540595,0.7227653757908192,0.009367654292865872,0.23090693620853386,0.014005488804793072,0.0012346372278640157,0.020754693432223973
ESI_Night_non-city,14.677906096775017,0.002934978155092815,3.0,0.9625526218276859,0.8087667477980617,0.9505618484491668,0.9625526218276859,0.21765739421003588,0.4745464192607696,0.1491970818606751,0.04238670383570426,0.07213028517558326,0.03370560967872795
ETm_Night_non-city,16.93050348649763,0.0026518266175914354,3.0,0.972528644112576,0.8472749710803189,0.9598402709756793,0.972528644112576,0.4116160052362278,0.43986812736083575,0.03342131358466265,0.07212319394438559,0.007362671188912895,0.02600593940448156
HI_Night_non-city,24.731515491602664,0.0035452032395047817,3.0,0.9763713149130965,0.9080595143139053,0.9621364913472489,0.9763713149130965,0.6247066061426931,0.013299764450682221,0.30598711386962524,0.028770216352025514,0.008794825348206735,0.018083443858472843
NET_Night_non-city,11.213939529803536,0.02165228489277309,3.0,0.9978810113303901,0.955214743254842,0.9950613568355307,0.9978810113303901,0.5487308584347733,0.04616700450118527,0.3850698468889101,0.008538067886924685,0.003823311348559488,0.007481892239435604
WBGT_Night_non-city,14.421088932329305,0.0030203224706568453,3.0,0.9519174096358733,0.759476414555359,0.9405442870685136,0.9519174096358733,0.17413331116585548,0.4086161445750476,0.2011435606173419,0.027666510870139886,0.13954019173980767,0.03905873777787213
