Model,LH_day_city,LH_day_non-city,LH_night_city,LH_night_non-city,LH_URB_day_city,LH_URB_day_non-city,LH_URB_night_city,LH_URB_night_non-city,LNET_URB_day_city,LNET_URB_day_non-city,LNET_URB_night_city,LNET_URB_night_non-city,LWDNB_day_city,LWDNB_day_non-city,LWDNB_night_city,LWDNB_night_non-city,PBLH_day_city,PBLH_day_non-city,PBLH_night_city,PBLH_night_non-city,PSFC_day_city,PSFC_day_non-city,PSFC_night_city,PSFC_night_non-city,Q2_day_city,Q2_day_non-city,Q2_night_city,Q2_night_non-city,QC_URB_day_city,QC_URB_day_non-city,QC_URB_night_city,QC_URB_night_non-city,RB_URB_day_city,RB_URB_day_non-city,RB_URB_night_city,RB_URB_night_non-city,RG_URB_day_city,RG_URB_day_non-city,RG_URB_night_city,RG_URB_night_non-city,RH_day_city,RH_day_non-city,RH_night_city,RH_night_non-city,RR_URB_day_city,RR_URB_day_non-city,RR_URB_night_city,RR_URB_night_non-city,SH_URB_day_city,SH_URB_day_non-city,SH_URB_night_city,SH_URB_night_non-city,SNET_URB_day_city,SNET_URB_day_non-city,SNET_URB_night_city,SNET_URB_night_non-city,SWDNB_day_city,SWDNB_day_non-city,SWDNB_night_city,SWDNB_night_non-city,SWDOWN_day_city,SWDOWN_day_non-city,SWDOWN_night_city,SWDOWN_night_non-city,T2_day_city,T2_day_non-city,T2_night_city,T2_night_non-city,TB_URB_day_city,TB_URB_day_non-city,TB_URB_night_city,TB_URB_night_non-city,TC_URB_day_city,TC_URB_day_non-city,TC_URB_night_city,TC_URB_night_non-city,TG_URB_day_city,TG_URB_day_non-city,TG_URB_night_city,TG_URB_night_non-city,TR_URB_day_city,TR_URB_day_non-city,TR_URB_night_city,TR_URB_night_non-city,TS_URB_day_city,TS_URB_day_non-city,TS_URB_night_city,TS_URB_night_non-city,UC_URB_day_city,UC_URB_day_non-city,UC_URB_night_city,UC_URB_night_non-city,WS_day_city,WS_day_non-city,WS_night_city,WS_night_non-city
Model_1,81.8343271406881,31.124202145583784,-0.7529274125729285,8.116955105009469,0.0,0.0,0.0,0.0,-204.72130577928303,0.0,-98.90084670675108,0.0,325.1768437037635,320.48277457805546,319.34448889032467,312.9926362237745,804.0177228783718,988.9386144083428,382.18192920852846,470.2820863538874,95981.7786696818,93236.21386132769,95968.12954886124,93214.804542588,0.009907203845420773,0.007592690862559953,0.009603323735163946,0.0073081020324322985,0.009653526103860442,0.009999997999999998,0.009660769241641092,0.009999998497528102,-0.0013429753102826684,0.0,-0.0015014526232918753,0.0,-0.004565080640041997,0.0,-0.0016331462605152641,0.0,61.78111281973833,45.20504173866739,74.65157793991278,53.89155879218831,-0.00356483971393959,0.0,-0.001692662613067356,0.0,180.9927110515264,0.0,26.353289646745274,0.0,474.1458188728736,0.0,0.0,0.0,568.2191625424002,593.9250256647072,0.0,0.0,568.2191625327088,593.9250256647072,0.0,0.0,287.23196030528186,296.4410553223307,283.4721106234857,291.7055068809799,302.8542199192376,307.14761108419214,292.85873486028106,307.14761965909935,296.9257974059118,307.14761108419214,287.55720451784845,307.14761965909935,310.60774342432563,307.14761108419214,288.6093225197868,307.14761965909935,298.0644528347602,307.14761108419214,283.24505712485865,307.14761965909935,290.5484271426264,307.14761108419214,285.54936691487643,307.14761965909935,0.7785961674462929,0.0,0.5275955084219027,0.0,3.023055933887902,4.798169274545589,1.9839682465837507,3.7322948634552477
Model_10,81.58494794960427,31.092221853038836,-0.8239077881812308,8.088191416773004,0.0,0.0,0.0,0.0,-215.92218370900918,0.0,-99.10690051729766,0.0,325.10756840090454,320.46881095211154,319.42713712162816,312.9737552153381,807.6485743110967,988.3155399340828,383.17547494911963,469.0728879420518,95982.0805850428,93236.25259945396,95968.52367856566,93214.86806301499,0.009907934142464868,0.007589046865363898,0.009599819687126475,0.007306195671992522,0.009654726984332094,0.009999997999999998,0.009667825962687773,0.009999998497528102,-0.0013987659659505734,0.0,-0.0015625468285252787,0.0,-0.004909653432821838,0.0,-0.0017324514336617672,0.0,61.86111820319819,45.19136540600634,74.9739385517687,53.89777214386206,-0.0035809007563883054,0.0,-0.0016956333583266032,0.0,178.29520830398968,0.0,25.10199923679535,0.0,484.22970750443295,0.0,0.0,0.0,567.7504691972217,594.047071245296,0.0,0.0,567.7504691972217,594.047071245296,0.0,0.0,287.2116115167179,296.44133648572205,283.3958962316266,291.70207589935313,303.2362378339525,307.14761108419214,292.6697096220319,307.14761965909935,297.13937513325794,307.14761108419214,287.15543441608787,307.14761965909935,311.31104406396383,307.14761108419214,288.1587945663059,307.14761965909935,298.16263049911163,307.14761108419214,283.28391877887253,307.14761965909935,290.5147137360685,307.14761108419214,285.4746169487966,307.14761965909935,0.830011591687934,0.0,0.5582254511258278,0.0,2.8812444692295265,4.787018737614679,1.8723299702099823,3.7216093794721696
Model_100,81.2821275191407,30.927079627591805,-0.025301684530770474,7.937810110416164,0.0,0.0,0.0,0.0,-184.8855133612802,0.0,-115.39801038844594,0.0,324.92107464706834,320.3789907902698,319.73864476821194,312.81716660206115,834.416929576805,985.2613734795976,460.225552358262,466.53794592763853,95981.33775803586,93236.24319502177,95965.26617040865,93214.67516137443,0.009964565495008884,0.007603354003340138,0.009649396073526086,0.007304323719679268,0.009703316088111775,0.009999997999999998,0.009627290550250363,0.009999998497528102,-0.0009885466077111937,0.0,-0.0010811921779841707,0.0,-0.0026421730609433045,0.0,-0.001009645373217574,0.0,61.67963876481989,45.21520778141526,71.40953185398158,53.8008234765477,-0.0037369267854304635,0.0,-0.0017569692194637377,0.0,160.91523769988692,0.0,44.021162842481026,0.0,454.06475250503956,0.0,0.0,0.0,570.2644071943143,594.2370590648596,0.0,0.0,570.2644028525278,594.2370590574809,0.0,0.0,287.2890873865288,296.45357205401285,284.19413186076565,291.71861866935586,300.8986041414957,307.14761108419214,294.5129172847682,307.14761965909935,296.7938054078501,307.14761108419214,290.61736858988854,307.14761965909935,306.16556372476174,307.14761108419214,291.7165196624132,307.14761965909935,299.1931838555968,307.14761108419214,283.84035399612344,307.14761965909935,290.46928986431914,307.14761108419214,286.6339096834114,307.14761965909935,0.3936190838442901,0.0,0.2699074957745114,0.0,2.240859714117267,4.735225187025605,1.5053854691616861,3.6814715032589715
Model_11,82.24605194605071,31.123622984602893,-0.5487182987371991,8.12695689949578,0.0,0.0,0.0,0.0,-172.84443269397684,0.0,-99.11158356872738,0.0,325.1668163220804,320.4952533794919,319.27665589727025,312.99544313943477,802.4973123162656,989.4792645091866,391.3504387207237,470.6058003802543,95981.03270424811,93236.03460720171,95966.91795525762,93214.68399972944,0.009911099136811501,0.007602974685417025,0.00961079139550961,0.0073123981828246065,0.009655689849458892,0.009999997999999998,0.009642553030851236,0.009999998497528102,-0.0010109608949491198,0.0,-0.001111678378366984,0.0,-0.0028119555622193506,0.0,-0.0010704502151962527,0.0,61.57852916604749,45.23592932968493,73.60415170053302,53.879965464618635,-0.0035721805734453237,0.0,-0.0017003623253109353,0.0,182.99270617347761,0.0,31.076296988370217,0.0,440.7146206024914,0.0,0.0,0.0,570.0064207187853,594.0591010625476,0.0,0.0,570.0064207187853,594.0591010625476,0.0,0.0,287.28567635600064,296.4461104769166,283.7021302778226,291.71504178394866,300.5449704716524,307.14761108419214,293.7162861024067,307.14761965909935,296.164466670974,307.14761108419214,289.6594167194314,307.14761965909935,306.1389979276369,307.14761108419214,290.85071633661767,307.14761965909935,298.1147001550638,307.14761108419214,283.2963846373769,307.14761965909935,290.6170209239218,307.14761108419214,285.85584261024064,307.14761965909935,0.5353794238087546,0.0,0.3686154102891294,0.0,3.122980163753836,4.804508545824827,2.0988477637215315,3.739744406884423
Model_12,81.25616618123081,30.974965070565954,-0.38537770349862704,7.984204702594878,0.0,0.0,0.0,0.0,-200.29578564378065,0.0,-108.77753086302776,0.0,325.13350874656766,320.4178889416337,319.91048195606527,312.89393263324894,834.3534874882895,986.1403094975035,438.98432498142466,467.32537815726687,95981.32809336134,93236.21309639177,95966.5665966726,93214.75302936764,0.009934859802907446,0.007592264653852965,0.009615171703682765,0.007305020531298424,0.009679010245356163,0.009999997999999998,0.009638427433451785,0.009999998497528102,-0.001244369928476821,0.0,-0.001371873285785818,0.0,-0.003792504966742045,0.0,-0.0013990853028573735,0.0,61.692374628816026,45.162707067516045,72.85956152317881,53.83038783734658,-0.0037216670422225815,0.0,-0.0017460687677758036,0.0,168.33787846874495,0.0,35.71209012941367,0.0,469.20628148114344,0.0,0.0,0.0,568.6225731561946,594.1996694079739,0.0,0.0,568.6225731626555,594.1996704387927,0.0,0.0,287.2677966467453,296.4562524741127,283.8366298271685,291.71368491526675,302.65050610402193,307.14761108419214,294.0318066822807,307.14761965909935,297.5915522597318,307.14761108419214,289.2232630980456,307.14761965909935,309.39231337102245,307.14761108419214,290.2782793862058,307.14761965909935,299.11749203844295,307.14761108419214,283.7812103052819,307.14761965909935,290.56597392505245,307.14761108419214,286.21449440478114,307.14761965909935,0.6207055347617509,0.0,0.42005707673235343,0.0,2.223393933703764,4.739018615325774,1.464948385583912,3.68377265370293
Model_13,81.25384994863512,31.00309467582458,-0.4287745789064771,8.004114378660011,0.0,0.0,0.0,0.0,-206.11446352407322,0.0,-108.15659455147986,0.0,325.0466538475206,320.4401317295914,319.68987252624777,312.8920253727525,826.8433783831367,986.2693422898885,427.4153119011468,467.8362091538973,95981.66259861088,93236.24037717983,95966.90711839768,93214.74054386698,0.00993667752325957,0.0075943955175172785,0.009620399921046682,0.00730654525240918,0.009681145346309159,0.009999997999999998,0.00964649385113875,0.009999998497528102,-0.0012883767196333387,0.0,-0.001431512400468422,0.0,-0.004089265412728154,0.0,-0.0014898789593991279,0.0,61.785821445323855,45.1907176214428,73.15320454030044,53.857728551171995,-0.0036790362085285092,0.0,-0.001732834171022452,0.0,169.22899008883863,0.0,34.483247783459866,0.0,476.0579471546399,0.0,0.0,0.0,568.2573517525441,594.0231995759649,0.0,0.0,568.2573466871264,594.0231600034434,0.0,0.0,287.2471979583266,296.4493854753179,283.78836719431433,291.710485629043,302.8734021805847,307.14761108419214,293.75856122435795,307.14761965909935,297.4045067711194,307.14761108419214,288.6973004151187,307.14761965909935,310.02717893716687,307.14761108419214,289.7800606073332,307.14761965909935,298.81913940558877,307.14761108419214,283.63468857535133,307.14761965909935,290.5186507785495,307.14761108419214,286.1137136714586,307.14761965909935,0.6234659778291067,0.0,0.42202708381198517,0.0,2.4211342699838476,4.752984050146345,1.5958128979195607,3.694315408891458
Model_14,81.95894328218381,31.12653809238261,-0.7999008607326766,8.13004077939297,0.0,0.0,0.0,0.0,-198.59345514728827,0.0,-96.6371677652101,0.0,325.29286607010175,320.481649050348,319.4670196365692,313.017600813636,805.7531430398966,989.2731479442654,379.7020134324018,470.0590099335908,95981.44304474237,93236.1180690656,95968.17690195444,93214.78395553041,0.00989875358299144,0.007591268109420272,0.009594858546761427,0.007309235970546278,0.009645780488774028,0.009999997999999998,0.009659455667242772,0.009999998497528102,-0.0013358165076724276,0.0,-0.0014802601278953319,0.0,-0.004466323871878533,0.0,-0.0016079828649652721,0.0,61.72026017347763,45.18925650584155,74.84531218672267,53.89309527542612,-0.0035717907562429333,0.0,-0.0016935416076239702,0.0,184.2346669697949,0.0,25.006506534582456,0.0,467.26656782505296,0.0,0.0,0.0,568.3731830205136,594.0491120975478,0.0,0.0,568.3731830350508,594.0491160402883,0.0,0.0,287.24402336940716,296.44560308015843,283.4204130463576,291.707574999877,302.7277876950412,307.14761108419214,292.81831763850755,307.14761965909935,297.09881796155713,307.14761108419214,287.6583401453723,307.14761965909935,310.2946242044904,307.14761108419214,288.663684097884,307.14761965909935,298.1274635680827,307.14761108419214,283.2736787449523,307.14761965909935,290.6123087465676,307.14761108419214,285.46398355031494,307.14761965909935,0.8630177758843482,0.0,0.5836776342965595,0.0,2.9792970837829102,4.795904939695501,1.9483777210305282,3.7325145540423534
Model_15,81.77168399402358,31.15227166382173,-0.9057008071801002,8.142337222070985,0.0,0.0,0.0,0.0,-211.32092526183925,0.0,-95.39231411941017,0.0,325.32433898885483,320.50247997442017,319.454687250848,313.02937327840226,802.2804291099984,989.4366830243255,370.1222710466806,470.6147169518165,95981.8577583589,93236.20386964113,95968.84886351155,93214.83953299554,0.009896286489097076,0.007586682916171878,0.00959142240397351,0.007306931730221118,0.009643223483669845,0.009999997999999998,0.009667602043579387,0.009999998497528102,-0.0014050378382006138,0.0,-0.0015621333711678242,0.0,-0.004977031725650137,0.0,-0.001753814061654014,0.0,61.826007267646574,45.179278268883586,75.42313779599418,53.904358840667044,-0.0035550185720077533,0.0,-0.001685014309061541,0.0,183.3568146987563,0.0,22.257580767145853,0.0,478.98458824360154,0.0,0.0,0.0,567.3082428848329,593.7700867090538,0.0,0.0,567.3082385430464,593.7700867090538,0.0,0.0,287.21485539008233,296.44083019652214,283.29700239056694,291.7022490719925,303.1010453480859,307.14761108419214,292.3458799063156,307.14761965909935,297.09801388628654,307.14761108419214,286.8830404409627,307.14761965909935,311.206225667905,307.14761108419214,287.8384691051526,307.14761965909935,298.01765456307544,307.14761108419214,283.20149845743816,307.14761965909935,290.5539069794863,307.14761108419214,285.2590414101114,307.14761965909935,0.9414260883653691,0.0,0.6327630687481828,0.0,3.0361848192537555,4.800499634818113,1.9645190340494267,3.734793855281993
Model_16,81.04390463059279,30.927395878594094,-0.2033942515748667,7.939377398028385,0.0,0.0,0.0,0.0,-204.91833184769135,0.0,-113.92773822949397,0.0,325.0133297625586,320.39756451213816,319.9984836100791,312.858693248887,839.8338351994831,984.8162925257642,455.82571083992895,465.9251185655607,95981.47892424488,93236.26808692231,95966.10721272815,93214.74240556361,0.009951508701276047,0.007593756591516836,0.009631913701405266,0.007303123257635831,0.009693164525924731,0.009999997999999998,0.009634146160394121,0.009999998497528102,-0.0012347395619415281,0.0,-0.0013638775502826685,0.0,-0.003735666331093523,0.0,-0.0013775436782910676,0.0,61.7325709759328,45.16750863219126,72.18193329672104,53.81314384349558,-0.0037580415949281212,0.0,-0.00175824138221612,0.0,162.16102839444355,0.0,39.59997265314166,0.0,475.4045706370844,0.0,0.0,0.0,568.9305623873365,594.1863435164917,0.0,0.0,568.9305709287676,594.1863474592321,0.0,0.0,287.26702006622514,296.4566227945987,283.99795427233084,291.71383271958086,302.7269453173962,307.14761108419214,294.266835264093,307.14761965909935,297.63314804878047,307.14761108419214,289.45752693910515,307.14761965909935,309.42046534970115,307.14761108419214,290.5337018704571,307.14761965909935,299.34434299305445,307.14761108419214,283.8957989436279,307.14761965909935,290.4989696317235,307.14761108419214,286.4271900145372,307.14761965909935,0.5431623190114683,0.0,0.3674554868777258,0.0,2.060454868085931,4.7241881596920585,1.3588365972670005,3.671337377607792
Model_17,82.45988358455823,31.210827798976805,-0.8079426300807624,8.213401364196818,0.0,0.0,0.0,0.0,-181.16527134295612,0.0,-92.91725596848758,0.0,325.34305830075914,320.50703516048895,319.13627149733486,313.08498484615194,782.6126966338232,991.015348884325,355.60204439508965,472.29901147748234,95981.3251041835,93236.02028132917,95968.14354869974,93214.70045876478,0.009889669837990632,0.0075962827473891326,0.009598074939751252,0.007309924631844454,0.009635041937166855,0.009999997999999998,0.009655188544209336,0.009999998497528102,-0.0012207255554256178,0.0,-0.0013546684493716686,0.0,-0.003870353262235503,0.0,-0.0014254816059828784,0.0,61.67905824422549,45.22402655766535,74.97409275755129,53.8841052792631,-0.0035565858821838153,0.0,-0.001686146787304151,0.0,190.4776974285253,0.0,23.54584037570667,0.0,448.5746072160034,0.0,0.0,0.0,568.9642350331126,594.1006260597192,0.0,0.0,568.9642350331126,594.1006237162112,0.0,0.0,287.25199652398646,296.4392670595469,283.4153528929091,291.71082019209484,301.8011415021806,307.14761108419214,292.9129370521725,307.14761965909935,296.47398260701016,307.14761108419214,288.173619074463,307.14761965909935,308.77877432563395,307.14761108419214,289.25126753513166,307.14761965909935,298.02404706347926,307.14761108419214,283.15338853497013,307.14761965909935,290.57688988693263,307.14761108419214,285.3057368954934,307.14761965909935,0.7888781668728799,0.0,0.5381886723356485,0.0,3.5384867946535294,4.836637887308459,2.3374984176546603,3.7661369624246746
