Day T2,Day TC_URB,Day SNET_URB,Day LNET_URB,Day PBLH,Day UC_URB,Day GRDFLX,Day HFX,Day LH_URB,Day LH,Day LWDNB,Day LWUPB,Day QC_URB,Day SH_URB,Day SWDNB,Day SWUPB,Day TB_URB,Day TG_URB,Day TR_URB,Day TS_URB,Day RH,Day WS,Day NET_URB,Night T2,Night TC_URB,Night SNET_URB,Night LNET_URB,Night PBLH,Night UC_URB,Night GRDFLX,Night HFX,Night LH_URB,Night LH,Night LWDNB,Night LWUPB,Night QC_URB,Night SH_URB,Night SWDNB,Night SWUPB,Night TB_URB,Night TG_URB,Night TR_URB,Night TS_URB,Night RH,Night WS,Night NET_URB,Model
295.08875,305.04504,0.01127732,-0.004658709,838.3368,0.649205,-67.49855,153.79704,0,84.04839,333.9002,444.80356,0.009931009,182.2272,584.98126,108.919304,310.2649,317.08173,306.56128,298.50836,63.345863,2.8255546,0.006618611,291.44604,296.85776,0,-0.00253182,419.4385,0.4426917,101.681366,10.34913,0,-0.52742285,328.17395,410.8937,0.009908484,33.24471,0,0,301.678,298.01108,291.1721,293.75003,75.46524,1.87783,-0.00253182,Model_1
295.1081,305.0771,0.011318957,-0.004670017,838.8029,0.649049,-68.121895,154.10976,0,84.43648,333.74017,444.94135,0.009921689,182.62257,587.13947,109.318886,310.29745,317.14145,306.61026,298.5333,63.21325,2.825444,0.006648938,291.4366,296.84732,0,-0.002539409,419.20694,0.4431342,101.84144,10.229178,0,-0.55113024,327.71222,410.82874,0.009905419,33.11868,0,0,301.66046,297.98996,291.14914,293.75034,75.46284,1.8798184,-0.002539409,Model_2
295.07935,305.0795,0.011357595,-0.004685274,839.95526,0.6495558,-68.25182,154.93831,0,84.537315,333.2534,444.8271,0.009909685,183.38158,589.15906,109.70294,310.32083,317.187,306.61276,298.5124,63.264977,2.8275845,0.006672322,291.39722,296.82663,0,-0.002545678,420.20633,0.4435042,102.1657,10.343815,0,-0.57590514,327.31668,410.6227,0.009900716,33.28919,0,0,301.6565,297.97827,291.11084,293.71542,75.598145,1.8810633,-0.002545678,Model_3
295.0486,305.1783,0.011131937,-0.004625403,414.88007,0.60553503,-69.26531,151.47693,0,75.003174,337.29727,470.32217,0.009859239,177.87627,577.47437,107.542114,310.41968,317.28702,306.9366,303.2502,63.048714,2.6333494,0.006506535,291.37744,296.9593,0,-0.002511472,176.86578,0.5107775,104.43894,14.799273,0,-0.36715466,330.1919,413.87253,0.00994477,34.848274,0,0,301.80933,298.1737,291.415,294.65616,75.77269,2.1737866,-0.002511472,Model_4
295.06525,305.23447,0.011217717,-0.004651542,416.44025,0.6065729,-70.31677,152.46805,0,75.5469,336.8326,470.62988,0.009847018,178.92973,581.9127,108.35986,310.49088,317.4115,307.0292,303.30463,62.911694,2.63749,0.006566176,291.35718,296.9388,0,-0.002518049,178.114,0.5114816,104.62567,14.736242,0,-0.38667226,329.73703,413.72757,0.009935656,34.79463,0,0,301.7863,298.14728,291.38412,294.6366,75.78632,2.1772132,-0.002518049,Model_5
295.0337,305.20636,0.011221757,-0.004652706,416.73816,0.60593957,-70.34416,152.53105,0,75.58318,336.611,470.45477,0.009814821,178.98697,582.1379,108.411644,310.46414,317.38776,306.9904,303.2726,62.842297,2.635547,0.00656905,291.33594,296.9252,0,-0.002523721,178.524,0.5130421,104.81451,14.727485,0,-0.4008827,329.38693,413.6077,0.009922492,34.820724,0,0,301.77768,298.13535,291.35834,294.6218,75.76787,2.1832092,-0.002523721,Model_6
295.4603,305.3551,0.011144699,-0.004651582,607.2189,0.642546,-69.14372,148.73026,0,77.66534,336.08246,470.6142,0.009341769,177.41513,578.15594,107.67834,310.46573,317.24088,306.94788,303.42926,58.808624,2.7999663,0.006493116,291.57703,297.17133,0,-0.002569638,264.69077,0.51926553,105.18959,13.532821,0,-0.19184408,328.24258,414.49875,0.009470423,33.319756,0,0,301.93167,298.25104,291.54364,294.92587,71.41741,2.2128456,-0.002569638,Model_7
295.5253,305.47733,0.011285073,-0.004698915,611.4556,0.6437974,-70.85935,150.12643,0,78.60196,335.2649,471.27127,0.009323211,179.01093,585.401,109.00514,310.6058,317.46432,307.12134,303.54926,58.42394,2.805413,0.006586158,291.57153,297.1654,0,-0.002582518,264.5577,0.5192048,105.482376,13.341839,0,-0.2151045,327.543,414.40143,0.009453053,33.12467,0,0,301.91754,298.22836,291.5186,294.924,71.29076,2.213115,-0.002582518,Model_8
295.4791,305.43567,0.011264125,-0.004690906,608.64734,0.6432061,-70.4451,150.13783,0,78.45873,335.34106,471.03183,0.009312714,178.97221,584.3461,108.82814,310.5735,317.4194,307.06808,303.50162,58.596607,2.8031483,0.006573219,291.5445,297.15387,0,-0.002579845,264.9115,0.52088845,105.60318,13.586552,0,-0.22269063,327.67303,414.32898,0.009458154,33.433014,0,0,301.92743,298.23624,291.50906,294.9047,71.47039,2.2197404,-0.002579845,Model_9
294.958,304.88174,0.011190788,-0.004593273,501.15634,0.6834276,-68.33567,155.54634,0,75.37735,335.4656,468.02518,0.009843756,182.92133,580.51324,108.100395,310.0645,316.8552,306.41873,302.88843,63.264572,2.966046,0.006597515,291.31155,296.8209,0,-0.002516302,191.07448,0.514893,103.39037,13.61347,0,-0.43742302,328.49936,413.0146,0.009816812,33.01397,0,0,301.51935,297.9302,291.19373,294.5539,75.03963,2.188467,-0.002516302,Model_10
