,predicted_mean,predicted_std,optimal_degree,cv_r2_mean,r2_deg_1,r2_deg_2,r2_deg_3,Sobol_H,Sobol_R,Sobol_W,Sobol_H*R,Sobol_H*W,Sobol_W*R
LH_day_city,81.78649575435792,0.41560369577873557,3.0,0.9935437729894477,0.9781567215287954,0.9910964688649184,0.9935437729894477,0.2090066772908315,0.5621828729969233,0.21231048307041897,0.0033342154545262033,0.0024469021045574555,0.0051802949724444845
LH_day_non-city,31.07520392842698,0.08560849383207468,2.0,0.9787223117765326,0.9510928699176778,0.9787223117765326,0.9769779418606372,0.5086317498534566,0.4453184192390371,0.026667263558729178,0.0003522396342399818,0.000909968966827443,0.018120358747709647
LH_night_city,-0.532494127767556,0.23276262736949757,3.0,0.9988315911564551,0.9028266374769786,0.9887451216696415,0.9988315911564551,0.5564453946606143,0.31776335093767494,0.03800771196425026,0.030811190813276455,0.030843498722620367,0.026029693113490043
LH_night_non-city,8.076693505251264,0.0814751018033019,3.0,0.9935307795090997,0.9691089461398402,0.9932221260898972,0.9935307795090997,0.4712688907609699,0.4703694796627066,0.04461867336282541,0.0010970305193653107,0.0008253683968152633,0.010886702618505304
LH_URB_day_city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LH_URB_day_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LH_URB_night_city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LH_URB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LNET_URB_day_city,-189.87634627121238,12.808070201580948,3.0,0.9998054118492679,0.9787311879410853,0.9985149198535466,0.9998054118492679,0.09477002988844331,0.22201140817064885,0.6731833481600976,0.0031040231318698788,0.0014267577802057618,0.005006673806174815
LNET_URB_day_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LNET_URB_night_city,-102.51570662798336,6.633722345386116,3.0,0.9996625453053085,0.9327588742288949,0.9951798443381138,0.9996625453053085,0.4354828127150799,0.49747166712852076,0.019055255772157397,0.01546623099668123,0.014466476571389043,0.017296075076423726
LNET_URB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LWDNB_day_city,325.16294702837115,0.1320380142488902,2.0,0.8887624738856186,0.7736852578782674,0.8887624738856186,0.8602640520398348,0.33335138760855915,0.5265081897561378,0.0034432837777154516,0.13028961112014137,0.0002395090726788712,0.006168018664767358
LWDNB_day_non-city,320.46620754585643,0.03592710407119467,2.0,0.7987274895012512,0.785230108920443,0.7987274895012512,0.7673187596149481,0.31942282616293316,0.6094596106639961,0.027838170423998592,0.0008969777907010378,0.023904981574579535,0.01847743338379165
LWDNB_night_city,319.5305154287332,0.23598792005207428,3.0,0.9681872844675853,0.9107967908247016,0.9652495533123953,0.9681872844675853,0.41021979658100205,0.28556693534757693,0.2242552521851668,0.03827461488436002,0.040835107052170756,0.0004669986805543923
